student_id,skills,qualifications,location_preferences,native_location,social_category,is_aspirational
S001,Deep Learning,B.Sc,Any,"Mysuru, Karnataka",OC,0
S002,Java,MBA,Tamil Nadu,"Chennai, Tamil Nadu",OC,0
S003,Deep Learning,M.Tech,Any,"Koraput, Odisha",SC,1
S004,Spring Boot,B.Sc,Any,"Coimbatore, Tamil Nadu",SC,0
S005,Machine Learning,MBA,Any,"Mewat, Haryana",ST,1
S006,Deep Learning,MBA,Remote,"Barmer, Rajasthan",SBC,1
S007,Spring Boot,B.Tech,Any,"Mewat, Haryana",OC,1
S008,C++,B.Tech,Remote,"Gaya, Bihar",BC,1
S009,Deep Learning,M.Tech,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",SC,0
S010,Data Analysis,B.Sc,Any,"Hyderabad, Telangana",OC,0
S011,Angular,B.Tech,Any,"Nuh, Haryana",SC,1
S012,Python,MCA,Any,"Mumbai, Maharashtra",SBC,0
S013,C++,B.Tech,Chhattisgarh,"Dantewada, Chhattisgarh",ST,1
S014,Data Analysis,B.Sc,Any,"Kochi, Kerala",ST,0
S015,Machine Learning,M.Tech,Any,"Gaya, Bihar",OC,1
S016,SQL,MCA,Remote,"Dantewada, Chhattisgarh",SBC,1
S017,Angular,MCA,Remote,"Jaipur, Rajasthan",OC,0
S018,Python,B.Tech,Remote,"Bhopal, Madhya Pradesh",SC,0
S019,Angular,B.Tech,Any,"Lucknow, Uttar Pradesh",ST,0
S020,Java,M.Tech,Odisha,"Koraput, Odisha",SBC,1
S021,Java,MBA,Remote,"Barmer, Rajasthan",OC,1
S022,SQL,B.Sc,Remote,"Kochi, Kerala",BC,0
S023,Deep Learning,MCA,Remote,"Koraput, Odisha",BC,1
S024,Data Analysis,B.Sc,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",BC,0
S025,C++,B.Tech,Remote,"Nandurbar, Maharashtra",SBC,1
S026,C++,B.Sc,Kerala,"Kochi, Kerala",SC,0
S027,Machine Learning,MCA,Any,"Patna, Bihar",SC,0
S028,Machine Learning,MCA,Madhya Pradesh,"Dhar, Madhya Pradesh",BC,1
S029,Java,B.Sc,Maharashtra,"Mumbai, Maharashtra",SBC,0
S030,Angular,MBA,Any,"Mewat, Haryana",BC,1
S031,Deep Learning,B.Tech,Any,"Varanasi, Uttar Pradesh",SC,0
S032,C++,B.Sc,Bihar,"Patna, Bihar",SC,0
S033,Angular,M.Tech,Any,"Nandurbar, Maharashtra",SC,1
S034,Machine Learning,MBA,Maharashtra,"Nagpur, Maharashtra",BC,0
S035,React,MCA,Any,"Nandurbar, Maharashtra",ST,1
S036,C++,MBA,Bihar,"Gaya, Bihar",SBC,1
S037,Deep Learning,MCA,Uttar Pradesh,"Varanasi, Uttar Pradesh",BC,0
S038,Java,MBA,Any,"Kalahandi, Odisha",SBC,1
S039,Python,M.Tech,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",ST,0
S040,Python,B.Tech,Remote,"Chennai, Tamil Nadu",SBC,0
S041,Spring Boot,MCA,Any,"Dhar, Madhya Pradesh",OC,1
S042,Java,M.Tech,Madhya Pradesh,"Dhar, Madhya Pradesh",OC,1
S043,C++,M.Tech,Any,"Kochi, Kerala",OC,0
S044,Data Analysis,B.Sc,Madhya Pradesh,"Bhopal, Madhya Pradesh",BC,0
S045,Python,M.Tech,Any,"Lucknow, Uttar Pradesh",BC,0
S046,Spring Boot,B.Tech,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",SC,0
S047,Machine Learning,M.Tech,Any,"Varanasi, Uttar Pradesh",BC,0
S048,React,M.Tech,Remote,"Jaipur, Rajasthan",OC,0
S049,React,MCA,Kerala,"Kochi, Kerala",SC,0
S050,Angular,M.Tech,Remote,"Nuh, Haryana",SC,1
S051,Deep Learning,B.Sc,Any,"Rajgarh, Madhya Pradesh",OC,1
S052,SQL,B.Sc,Any,"Mysuru, Karnataka",OC,0
S053,Angular,MCA,Any,"Mewat, Haryana",SC,1
S054,Spring Boot,MCA,Remote,"Jaipur, Rajasthan",OC,0
S055,Python,B.Tech,Any,"Mewat, Haryana",SC,1
S056,Angular,MBA,Any,"Kalahandi, Odisha",ST,1
S057,Deep Learning,MCA,Remote,"Varanasi, Uttar Pradesh",BC,0
S058,React,B.Sc,Remote,"Varanasi, Uttar Pradesh",OC,0
S059,Deep Learning,M.Tech,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",ST,0
S060,Angular,B.Tech,Any,"Kalahandi, Odisha",SBC,1
S061,Java,MBA,Remote,"Nuh, Haryana",SBC,1
S062,C++,M.Tech,Any,"Koraput, Odisha",SC,1
S063,Java,MCA,Any,"Chennai, Tamil Nadu",SBC,0
S064,Machine Learning,B.Tech,Maharashtra,"Nandurbar, Maharashtra",BC,1
S065,C++,M.Tech,Any,"Pune, Maharashtra",BC,0
S066,React,MBA,Telangana,"Hyderabad, Telangana",BC,0
S067,Spring Boot,B.Sc,Any,"Hyderabad, Telangana",OC,0
S068,Machine Learning,MBA,Uttar Pradesh,"Varanasi, Uttar Pradesh",SBC,0
S069,Spring Boot,MBA,Remote,"Nuh, Haryana",OC,1
S070,Spring Boot,M.Tech,Remote,"Gaya, Bihar",OC,1
S071,Data Analysis,B.Sc,Uttar Pradesh,"Varanasi, Uttar Pradesh",SC,0
S072,Java,MBA,Madhya Pradesh,"Dhar, Madhya Pradesh",SC,1
S073,Data Analysis,MCA,Tamil Nadu,"Coimbatore, Tamil Nadu",SC,0
S074,Angular,B.Tech,Madhya Pradesh,"Rajgarh, Madhya Pradesh",BC,1
S075,C++,B.Sc,Any,"Nandurbar, Maharashtra",SC,1
S076,Deep Learning,M.Tech,Remote,"Patna, Bihar",ST,0
S077,Deep Learning,MBA,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",SC,0
S078,SQL,MBA,Any,"Kochi, Kerala",BC,0
S079,Machine Learning,MBA,Rajasthan,"Barmer, Rajasthan",SC,1
S080,Python,B.Sc,Remote,"Varanasi, Uttar Pradesh",OC,0
S081,Machine Learning,MCA,Madhya Pradesh,"Bhopal, Madhya Pradesh",BC,0
S082,Spring Boot,M.Tech,Madhya Pradesh,"Dhar, Madhya Pradesh",OC,1
S083,Java,M.Tech,Remote,"Barmer, Rajasthan",BC,1
S084,Java,B.Tech,Madhya Pradesh,"Dhar, Madhya Pradesh",ST,1
S085,Spring Boot,MCA,Madhya Pradesh,"Bhopal, Madhya Pradesh",OC,0
S086,Python,B.Sc,Remote,"Chennai, Tamil Nadu",ST,0
S087,Data Analysis,B.Sc,Maharashtra,"Pune, Maharashtra",OC,0
S088,Angular,B.Sc,Remote,"Coimbatore, Tamil Nadu",SC,0
S089,Java,M.Tech,Remote,"Dantewada, Chhattisgarh",SC,1
S090,Data Analysis,MBA,Remote,"Kochi, Kerala",OC,0
S091,C++,MCA,Remote,"Lucknow, Uttar Pradesh",BC,0
S092,Java,M.Tech,Odisha,"Kalahandi, Odisha",ST,1
S093,Java,MBA,Any,"Nagpur, Maharashtra",ST,0
S094,C++,B.Tech,Any,"Mysuru, Karnataka",ST,0
S095,React,B.Tech,Remote,"Gaya, Bihar",SC,1
S096,Angular,B.Tech,Rajasthan,"Barmer, Rajasthan",ST,1
S097,C++,M.Tech,Remote,"Nuh, Haryana",ST,1
S098,C++,MCA,Remote,"Hyderabad, Telangana",ST,0
S099,Java,B.Tech,Remote,"Nandurbar, Maharashtra",SBC,1
S100,Data Analysis,M.Tech,Bihar,"Patna, Bihar",SBC,0
